中文,英文
混合授粉,mixed pollination
抗逆育种,breeding for stress tolerance
多系品种,multiline variety
抗病育种,breeding for disease resistance
单交种,single cross hybrid
品种审定,variety certification
推广种[子],commercial seed
繁殖区,multiplication plot
发芽试验,germination test
种子测定,seed testing
纯度测定,purity testing
种子清选,seed cleaning
种子休眠,seed dormancy
贮藏期,storage period
层积处理,stratification
加性效应,additive effect
基因性不育,genic sterility
酶工程,enzyme engineering
异源四倍体,allotetraploid
生物技术,biotechnology
双二倍体,amphidiploid
微体繁殖,micropropagation
脱氧核糖核酸,deoxyribonucleic acid
定向选择,directional selection
品种鉴定,variety identification
种子消毒,seed disinfection
离体保存,in vitro conservation
同源多倍体,autopolyploid
操纵子,operon
细胞工程,cell engineering
胚培养,embryo culture
染色体工程,chromosome engineering
组织培养,tissue culture
体细胞杂交,somatic hybridization
花粉培养,pollen culture
连接酶,ligase
种质长期保存材料,base collections
内融合,endomixis
倒位,inversion
细胞融合,cytomixis
杂种优势,heterosis
杂交育种,cross breeding
自交,selfing
回交,backcross
半同胞交配,half-sib mating
渐渗杂交,introgressive hybridization
诱变剂,mutagen
杂交不亲和性,cross incompatibility
诱变效应,mutagenic effect
自交亲和系,self compatible line
亲和性,compatibility
[育性]恢复系,restoring line
配子选择,gametic selection
生殖隔离,reproductive isolation
连续选择,successive selection
株行法,plant-to-row method
自由授粉,open pollination
控制授粉,controlled pollination
异花授粉,cross pollination
蕾期授粉,bud pollination
无融合生殖,apomixis
品种更换,variety replacement
品系,strain
原原种,breeder's seed
繁殖系数,propagation coefficient
品种纯度,varietal purity
种子比重,seed specific weight
种子活力,seed vitality
种子混杂物,seed admixture
基因库材料,gene bank accession
遗传力,heritability
基因文库,gene library
遗传漂变,genetic drift
附加系,addition line
异源六倍体,allohexaploid
杂交,cross
抗虫育种,breeding for pest resistance
自交不亲和系,self incompatible line
异交,outcross
遗传资源,genetic resources
复合杂交,multiple cross
启动子,promotor
杂交组合,hybrid combination
近交,inbreeding
育种圃,breeding nursery
选择指数,selection index
选择响应,selection response
[油菜]单低育种,breeding for single low [erucic acid or glucosinolate] content in rapeseed
综合种,synthetic variety
地方品种,landrace
子代,filial generation
无性第二代,V2[in vegetative hybridization]
杂交亲和性,cross compatibility
种子储备,seed reservation
植物引种,plant introduction
生化突变,biochemical mutation
遗传工程,genetic engineering
复制子,replicon
配子体自交不亲和系统,gametophytic self-incompatibility system
正常型种子,orthodox seed
异质性,heterogeneity
芽变,bud mutation
移植,transplantation
全能性,totipotency
原生质体培养,protoplast culture
花药培养,anther culture
胚嫁接,embryo grafting
颠换,transversion
种质储存,germplasm storage
乳糖操纵子,lac operon
引发酶,primase
重组子,recon
种质短期保存材料,working collections
异核现象,heterokaryosis
细胞器移植,organelle transplantation
复性,renaturation
转化,transformation
复制,duplication
DNA交联,DNA cross-linking
信使RNA,messenger RNA
脱氧胞苷酸,deoxycytidylic acid
果实直感,metaxenia
纯系育种,pure line breeding
父本,male parent
杂种,hybrid
远交,outbreeding
顶交,top cross
成对杂交,biparental cross
核质互作,nucleo-cytoplasmic interaction
不亲和性,incompatibility
细胞质雄性不育,cytoplasmic male sterile
可交配性,crossability
花粉不育性,pollen sterility
杂种不育性,hybrid sterility
部分不育性,partial sterility
自交不育性,self-sterility
歧化选择,disruptive selection
一般配合力,general combining ability
选择强度,selection intensity
系谱法,pedigree method
系谱,pedigree
群体改良,population improvement
自花受精,self-fertilization
主效基因抗[病]性,major gene resistance
品种登记,variety registration
栽培品种,cultivar
细胞系,cell-line
无性繁殖,vegetative propagation
种子寿命,seed longevity
种子检验,seed inspection
时间隔离,time isolation
种子检疫,seed quarantine
活力测定,vitality test
干重,dry weight
风干,air drying
种子贮藏,seed storage
原地保存,in situ conservation
驯化,acclimatization
种质,germplasm
变异中心,center of diversity
遗传侵蚀,genetic erosion
数量遗传,quantitative inheritance
突变频率,mutation frequency
突变,mutation
加性遗传方差,additive genetic variance
突变点,mutational site
显性效应,dominance effect
突变易发点,hot spot [in mutation]
发酵工程,fermentation engineering
代换系,substitution line
异源多倍体,allopolyploid
农业机械化,agricultural mechanization
暗管塑孔犁,mole plow
旋耕机,rotary plow
联合收割机,combine
撒粪机,manure spreader
半喂入水稻联合收割机,head-feed rice combine
电育雏伞,electric hover
农业建筑,agricultural structure
清花机,cotton cleaner
青饲联合收割机,silage combine
锤式粉碎机,hammer mill
挤奶台,milking parlor
谷物干燥机,grain drier
电围栏,electric fence
育肥猪舍,fattening house
半开放式棚,half-open shed
猪产房,farrowing house
肉鸡舍,broiler house
地面灌溉,surface irrigation
电阻加热,ohmic heating
介电加热,dielectric heating
挤压加工,extrusion processing
生物质能,biomass energy
电晕种子清选机,electrocorona seed cleaner
农用智能仪表,agricultural intelligent instrument
主动式太阳能加热,active solar heating
渡槽,flume
搂草机,hay rake
堆草机,hay stacker
碾米机,rice mill
圆盘犁,disk plow
修理成本,repair cost
超高温加工,ultra-high temperature processing
蛋鸡舍补充照明,additional lighting in laying house
红外线加热,infrared heating
风能,wind energy
风力发动机,wind turbine generator
农机配备,disposition of farm machineries
动力输出轴,power take-off
链轨式拖拉机,crawler tractor
悬挂式农具,mounted implement
桥式耕作系统,gantry cultivating system
中耕机,cultivator
少耕法,less-tillage system
灭茬犁,topsoil plow
铧式犁,mouldboard plow
开沟犁,ditching plow
錾式犁,chisel plow
无壁犁,boardless plow
圆盘耙,disk harrow
双向犁,reversible plow
块根播种机,root planter
间苗机,plant thinner
精密播种机,precision planter
施肥机,fertilizer distributor
弥雾机,mist sprayer
施颗粒肥机,granular-fertilizer distributor
甜菜收获机,sugarbeet harvester
清选机,separator
农业生物环境工程,agrobiological environmental engineering
毛渠,field ditch
径流,runoff
干渠,main canal
陶管排水,tile drainage
农渠,sublateral canal
土地平整,land leveling
辐照加工,irradiation processing
量水坝,measuring dam
量水槽,measuring flume
超滤,ultrafiltration
太阳能热水系统,solar water heating system
养猪场,pig farm
齿耙,tooth harrow
耕作机具,tillage implement
块茎播种机,tube planter
农机更新,renewal of farm machinery
手扶式拖拉机,hand tractor
旋转耙,rotary harrow
缺口圆盘耙,cutaway disk harrow
镇压器,packer
撒播机,seed broadcaster
拌种机,seed dresser
喷雾机,sprayer
诱虫灯,light trap
精米机,rice polisher
轧花机,cotton gin
马铃薯挖掘机,potato digger
摘棉机,cotton picker
花生挖掘机,peanut digger
砻谷机,rice huller
全喂入水稻联合收割机,whole-feed rice combine
割草机,mower
奶油分离器,cream separator
农业建筑环境控制,environmental control for agricultural building
蛋鸡舍,layer house
冷藏库,cold storage
滴灌,trickle irrigation
渗灌,filtration irrigation
地下灌溉,subirrigation
温室二氧化碳加浓,greenhouse carbon dioxide enrichment
漫灌,flooding irrigation
温室通风,greenhouse ventilation
土壤-作物-大气连续体,soil-plant-atmosphere continuum
喷灌,sprinkling irrigation
地热能,geothermoenergy
农业机器人,agricultural robot
省柴灶,fuel-saving stove
微机信息系统,microcomputer information system
热解,pyrolysis
低量喷雾机,low-volume sprayer
条播机,drill
粮仓,granary
速冻干燥,accelerated freeze-drying
短时高温加工,high-temperature short-time processing
紫外线辐照,ultraviolet irradiation
孵卵机,incubator
构筑梯田,terrace building
割捆机,binder
割晒机,swather
喷粉机,duster
玉米脱粒机,corn thresher
玉米联合收割机,corn combine
捡拾压捆机,picker-baler
刮粪机,slurry scraper
奶牛场,dairy farm
农业生物环境热力学,agrobiological environmental thermodynamics
淤溉,warping irrigation
配水系统,distribution system
温室加热,greenhouse heating
沟灌,furrow irrigation
水帘,water curtain
围坑灌,basin irrigation
农田基本建设,farmland capital construction
坎儿井,karez
水土保持,water and soil conservation
明沟,open ditch
支渠,submain canal
暗管,underground pipe
斗渠,lateral canal
膜技术,membrane technology
量水堰,measuring weir
反渗透,reverse osmosis
脱水,dehydration
替代性能源,alternative energy source
沼气,biogas
被动式太阳能加热,passive solar heating
农村电气化,rural electrification
农业电气化,agricultural electrification
复合太阳能加热系统,compound solar heating system
颗粒物料分选,sorting of granular material
太阳能电池,solar cell
微机数据采集加工系统,microcomputer data acquisition and processing system
熏干,smoke-drying
排水,drainage
半悬挂式农具,semi-mounted implement
榨油机,oil press
生物反应器,bio-reactor
气化,gasification
可再生能源,renewable energy source
风力机,wind mill
农业系统工程,agricultural system engineering
农业机器系统,system of farm machineries
拖拉机牵引特性,tractor drawbar performance
农业半机械化,agricultural semi-mechanization
选择性农业机械化,selective farm mechanization
农业机械化规划,planning of agricultural mechanization
计划预防维修制,planned-preventive maintenance system
轮式拖拉机,wheel tractor
通用机架,tool-carrier
牵引式农具,trailed implement
自走底盘,self-propelled chassis
心土犁,subsoil plow
水稻插秧机,rice transplanter
水稻拔秧机,rice seedling puller
行间中耕机,rowcrop cultivator
穴播机,hill-drop planter
中耕培土机,cultivator-hiller
带播机,band seeder
旋转锄,rotary hoe
施肥播种机,combined seed and fertilizer drill
飞机撒播器,aerial broadcaster
喷烟机,fogger
液氨施肥机,liquid ammonia applicator
超低量喷雾机,ultra-low-volume sprayer
脱粒机,thresher
玉米摘穗机,corn picker
温室,greenhouse
火鸡场,turkey farm
塑料大棚,plastic tunnel
畦灌,border irrigation
水利土壤改良,hydromelioration
水土流失,water and soil erosion
地下排水,underground drainage
沼气池,biogas generating pit
厌氧发酵,anaerobic fermentation
农村能源,rural energy source
挤奶器,milker
免耕法,no-tillage system
摇臂收割机,sail reaper
农机具,farm implement
磨粉机,flour mill
太阳能,solar energy
农业气候评价,agroclimatic evaluation
农业气候学,agricultural climatology
农业气候资源,agroclimatic resources
农业气象产量预报,agrometeorological yield forecast
气候变化,climatic variation
农业气候志,agroclimatography
气候变率,climatic variability
气候异常,climatic anomaly
气候图,climatic chart
气候型,climatic type
农业地形气候学,agrotopoclimatology
气候生产潜力,climatic potential productivity
农田小气候,field microclimate
小气候,microclimate
无霜日,day without frost
冻结深度,depth of freezing
冻涝害,flood-freezing injury
冻死率,cold mortality
成霜洼地,frost hollow
等蒸发量线,isothyme
相对湿度,relative humidity
梅雨,Meiyu
太阳辐射,solar radiation
大雨,heavy rain
雨水,Rain Water
等温线,isotherm
冻雨,freezing rain
降雨持续时间,rainfall duration
雨量,rainfall [amount]
雨蚀[作用],rainfall erosion
等雨量线,equipluves
雨季,rainy season
雨量分布,rainfall distribution
芒种,Grain in Ear
物候历,phenological calendar
阳历,solar calendar
阴历,lunar calendar
春分,Vernal Equinox
作物气象,crop meteorology
立夏,Beginning of Summer
白露,White Dew
二氧化碳补偿点,compensation point of carbon dioxide
等物候线,isophane
日照时数,sunshine duration
大气,atmosphere
大气环流,atmospheric circulation
光饱和点,light saturation point
逆辐射,back radiation
寒带,frigid zone
黑体辐射,black body radiation
热带季风气候,tropical monsoon climate
温带,temperate zone
温带气候,temperate climate
冬湿寒冷气候,cold climate with moisture winter
半干旱气候,semi-arid climate
热带稀树草原气候,savanna climate
极地气候,polar climate
最适温度,optimal temperature
摄氏温标,Celsius thermometric scale
华氏温标,Fahrenheit thermometric scale
冻结温度,freezing temperature
逆温,temperature inversion
活动温度,active temperature
显热通量,sensible heat flux
地面逆温,surface inversion
潜热通量,latent heat flux
地温梯度,geothermal gradient
倒春寒,cold in the late spring
风害,wind damage
热带,tropics
亚热带雨林气候,subtropic rain forest climate
海洋[性]气候,marine climate
农业气象指标,agrometeorological index
农业气象观测,agrometeorological observation
物候图,phenogram
二氧化碳饱和点,saturation point of carbon dioxide
日变化,diurnal variation
光能利用率,efficiency for solar energy utilization
光照强度,intensity of illumination
光温生产潜力,light and temperature potential productivity
雹害,hail damage
热量平衡,heat balance
延迟型冷害,cool-summer damage due to delayed growth
台风,typhoon
平流辐射霜冻,advection radiation frost
无霜期,frost-free season
地面蒸发,evaporation from land surface
湿润系数,coefficient of humidity
潜在蒸散,potential evapotranspiration
蒸发抑制剂,evaporation suppressor
霜穴,frost hole
早霜,early frost
晚霜,late frost
地形雨,orgoraphic[al] rain
秋分,Autumnal Equinox
物候观测,phenological observation
