中文,英文
t值,t-value
特征矢量,characteristic vector
最小显著差数,least significant difference
区组,block
随机区组,randomized block
算术[平]均数,arithmetic mean
协方差分析,analysis of covariance
标准差,standard deviation
离均差,deviation from mean
数学模拟,mathematical simulation
差异显著平准,level of significance of difference
特征值,characteristic value
主效应,main effect
估[计]值,estimate
试验设计,experimental design
盆栽试验,pot culture experiment
区域试验,regional test
空白试验,blank test
同质性检验,homogeneity test
统计量,statistic
变量,variable
完全随机设计,complete randomized design
拉丁方设计,Latin square design
样本,sample
下限,lower limit
自变量,independent variable
聚类分析,cluster analysis
随机变量,ramdom variable
连续[性]变量,continuous variable
逐步回归,stepwise regression
正态分布,normal distribution
校正曲线,calibration curve
符号检验,sign test
优化,optimization
正交试验,orthogonal experiment
希腊拉丁方设计,Greek-Latin square design
混杂设计,confounding design
正交系数,orthogonal coefficient
频数分布,frequency distribution
多元回归,multiple regression
决定系数,coefficient of determination
线性相关,linear correlation
平均差,average deviation
t检验,t-test
随机模型,random model
对照,check
小区排列,plot arrangement
顺序排列,systematic arrangement
试验种植计划书,experimental planting plan
处理,treatment
随机抽样,random sampling
调和[平]均数,harmonic mean
方差分析,analysis of variance
估计,estimation
柱形图,histogram
自由度,degree of freedom
折线图,polygram
极差,range
抽样误差,sampling error
回归线,regression line
多项式回归,polynomial regression
判别函数,discriminant function
线性回归,linear regression
正交多项式,orthogonal polynomial
固定模型,fixed model
混合模型,mixed model
回归系数,regression coefficient
复相关,multiple correlation
通径系数,path coefficient
正态曲线,normal curve
典范相关,canonical correlation
F值,F-value
着水,dampening
蒸炒,cooking
籽棉,seed cotton
蒸汽蒸馏,steaming
脱壳,husking
水代法取油,oil extraction by water substitu+C126263tion
糙米,brown rice
润麦,tempering
精选,foreign seeds extraction
刷麦,wheat brushing
籼米,milled long-grain nonglutinous rice
打麦,wheat scouring
粳米,milled medium to short-grain nonglutinous rice
小麦搭配,wheat blending
高粱米,sorghum rice
碾磨,grinding
轧胚,flaking
酸炼,acid-refining
[香]精油,essential oil
食用植物油,edible vegetable oil
发酵,fermentation
揉切,rolling and cutting
砖茶,brick tea
天然[橡]胶,natural rubber
乌龙茶,Oolong tea
自发气调贮藏,modified atmosphere storage
腌制,curing
罐藏,canning
胶片,rubber sheet
农产品加工,agro-product processing
油料预处理,pretreatment of oil bearing materials
油料脱皮,oilseed decortication
裸大麦粉,naked barley flour
气调贮藏,controlled atmosphere storage
抗氧剂保藏,antioxidant preservation
磁选,magnetic separation
碾米,rice whitening
脱酸,deacidification
氢化,hydrogenation
精炼油,refined oil
粗纤维,raw fiber
缺氧保藏,oxygen deficit preservation
凉米,rice cooling
糠粞分离,floury product separation
清理,cleaning
砻谷,husking
洗麦,wheat washing
水分调节,conditioning
米糠,rice bran
莜麦粉,naked oats flour
玉米油,corn oil
做青,fine manipulation of green tea leaves
茶[籽]油,tea oil
果汁,fruit juice
果肉饮料,fruit squash
果酱,fruit jam
红外线干燥,infrared drying
高频干燥,high-frequency drying
脱水蔬菜,dehydrated vegetable
果酒,fruit wine
干菜,dry vegetable
水果香精,fruit essence
机械通风干燥,mechanical ventilation drying
冻藏,freeze preservation
盐渍,salting
糟渍,pickled with grains
花生油,peanut oil
松粉,detaching
红花籽油,safflower oil
红茶,black tea
面粉处理,flour treatment
制粉,flour milling
玉米粉,corn flour
玉米糁,corn grits
面粉搭配,flour blending
撞击杀虫,entoleting
筛理,bolting
小麦粉,wheat flour
清粉,purification
淀粉,starch
压榨,pressing
稷米,milled nonglutinous broomcorn millet
碱炼,caustic refining
混合油处理,miscella treatment
溶剂回收,solvent recovery
水化,hydration
毛油,crude oil
脱胶,degumming
米糠油,rice bran oil
冬化,winterization
大豆油,soybean oil
芝麻油,sesame oil
菜籽油,rapeseed oil
花生酱,peanut butter
杀青,Shaqing
花薰茶,scented tea
生胶,crude rubber
烘青,hongqing
流化床干燥,fluid-bed drying
蔬菜汁,vegetable juice
辐射处理,radiation treatment
烟熏保藏,smoke-dried preservation
人造奶油,magarine
绉片,crepe
胶乳,latex
果泥,fruit paste
果醋,fruit vinegar
白米分级,white rice grading
风选,aspiration
比重分选,gravity separation
刷麸,bran brushing
吸附脱色,adsorption bleaching
油脂精炼,oil and fat refining
棉籽油,cottonseed oil
强化,enrichment
棉绒,linters
芝麻酱,sesame paste
皮棉,ginned cotton
蒸青,steam tea
自然通风干燥,natural-draft drying
糖渍,sugaring
酸渍,pickling
辐射保藏,radiation preservation
防腐剂保藏,antiseptic preservation
麸皮,bran
揉捻,rolling
喷雾干燥,atomized drying
渥堆,pile fermentation
沉淀,precipitation
面筋,gluten
谷糙分离,husked rice separation
微波干燥,microwave drying
低温干燥,low temperature drying
稻壳,rice hull
擦米,rice polishing
膨化,puffing
脱蜡,dewaxing
燕麦片,oats flakes
打麸,bran finishing
大豆粉,soybean meal
初清,preliminary cleaning
谷壳分离,husk separation
筛选,screening
糯米,glutinous rice
重力分级,gravity selection
蒸谷米,parboiled rice
小米,milled foxtail millet
黍米,milled glutinous broomcorn millet
油料剥壳,oilseed hulling
破碎,crushing
软化,softening
麦芽,malt
浸出,solvent extraction
过滤,filtration
粕处理,meal treatment
脱臭,deordorization
棕榈油,palm oil
绿茶,green tea
水果罐头,canned fruit
炒青,pan-fired
果冻,fruit jelly
蔬菜泥,vegetable puree
蔬菜罐头,canned vegetable
冷藏,cold preservation
冷冻干燥,freeze drying
腌渍保藏,curing preservation
干[制保]藏,drying preservation
挤压膨化,extrusion
豆科作物,legume
园艺学,horticulture
集约农业,intensive agriculture
一年生作物,annual crop
秋收作物,autumn harvesting crop
二年生作物,biennial crop
热带作物,tropical crop
耐旱作物,drought tolerant crop
农业技术措施,agrotechnical measures
多年生作物,perennial crop
绿肥作物,green manure crop
作物,crop
糖料作物,sugar [yielding] crop
农业物理学,agricultural physics
农业科学,agricultural science
农业技术革新,agricultural [technology] innovation
农业经济学,agricultural economics
中耕作物,intertillage crop
传统农业,traditional farming
有机农业,organic agriculture
作物形态[学],plant morphology
秋播作物,autumn sown crop
夏收作物,summer harvesting crop
经济作物,economic crop
亚热带作物,subtropical crop
耐盐作物,salt tolerant crop
先锋作物,pioneer crop
谷类作物,cereal
越冬作物,overwintering crop
覆盖作物,cover crop
食用作物,food crop
植物病理学,plant pathology
农学,agronomy
农业区划,agricultural regionalization
农业现代化,agricultural modernization
农业资源,agricultural resources
作物遗传[学],plant genetics
旱地农业,dryland farming
立体农业,multi-storied agriculture
粗放农业,extensive agriculture
短日[照]作物,short day crop
长日[照]作物,long day crop
春[播]作物,spring sown crop
作物生理[学],plant physiology
纤维作物,fiber crop
耐涝作物,waterlogging tolerant crop
油料作物,oil-bearing crop
块茎作物,tuber crop
橡胶作物,rubber crop
饲料作物,forage crop
作物育种[学],plant breeding
救荒作物,emergency crop
农业技术推广,agricultural [technology] extension
原始农业,primitive farming
农业生态学,agricultural ecology
作物[科]学,crop science
块根作物,root crop
香料作物,aromatic crop
园艺作物,horticultural crop
农业化学,agricultural chemistry
农业气象学,agricultural meteorology
农业地理学,agricultural geography
农业工程,agricultural engineering
工业原料作物,industrial crop
大田作物,field crop
农业昆虫学,agricultural entomology
生态农业,ecological agriculture
染料作物,dye crop
农业生物学,agricultural biology
药用作物,medicinal crop
养地作物,soil improving crop
农业植物学,agricultural botany
农业区,agricultural region
农业规划,agricultural planning
农业统计学,agricultural statistics
灌溉农业,irrigation farming
持续农业,sustainable agriculture
雨养农业,rainfed farming
山区农业,mountain region farming
梯田农业,terrace farming
草地农业,grassland farming
夏播作物,summer sown crop
麻类作物,bast fiber crop
调料作物,spice crop
蔬菜作物,vegetable crop
农业土壤学,edaphology
草莓,strawberry
黑莓,blackberry
百合,lily
大蕉,plantain banana
石竹,Chinese pink
落叶果树,deciduous fruit tree
水生蔬菜类,aquatic vegetables
沙果,crab-apple
常绿果树,evergreen fruit tree
果树苗木,fruit nursery stock
苹果,apple
杏,apricot
扁桃,almond
蟠桃,flat peach
酸橙,sour orange
柚,pummelo
[欧洲]甜樱桃,sweet cherry
温州蜜柑,satsuma mandarin
来檬,lime
金桔,oval kumquat
四季桔,calamondin
[板]栗,Chinese chestnut
余甘子,emblic
腰果,cashew
甘蓝类蔬菜,cole vegetables
芥菜类蔬菜,mustard vegetables
二年生蔬菜作物,biennial vegetable crop
茎菜类蔬菜,stem vegetables
果菜类蔬菜,fruit vegetables
豆类蔬菜,leguminous vegetables
根甜菜,table beet
球茎甘蓝,kohlrabi
乌塌菜,Wuta-tsai
西葫芦,pepo
哈密瓜,Hami melon
菠菜,spinach
芹菜,celery
莴苣,lettuce
蛇[丝]瓜,edible snake gourd
黑子南瓜,fig-leaf gourd
慈姑,Chinese arrowhead
蒲菜,common cattail
须苞石竹,beared pink
矮雪轮,drooping silene
玉簪,fragrant plantain lily
三色堇,pansy
牵牛花,morning glory
荷兰菊,frost flower
旱金莲,garden nasturtium
福禄考,drummond phlox
大花美人蕉,common garden canna
水仙,polyanthus narcissus
月季,China rose
黄栌,smoke tree
黄兰,champac michelia
白兰花,white michelia
龙船花,Chinese ixora
野蔷薇,multiflora rose
含笑,banana-shrub
海桐,mock orange
木香,banksian rose
红花菜豆,scarlet runner bean
菜瓜,snake melon
[普通]丝瓜,luffa-smooth loofah
韭菜,Chinese chive
田薯,winged yam
石刁柏,asparagus
大花牵牛,imperial japanese morning glory
千日红,globe amaranth
杜梨,birch-leaf pear
宜昌橙,Ichang papeda
榛[子],Siberian hazelnut
阳桃,carambola
银杏,ginkgo
橄榄,white Chinese olive
大白菜,Chinese cabbage-pe-tsai
人心果,sapodilla
晚香玉,tuberose
苏铁,sago cycas
天门冬,asparagus
[兴安]落叶松,Dahurian larch
金琥,golden-ball cactus
落羽杉,swamp cypress
碧桃,flowering peach
樱花,oriental cherry
海棠花,Chinese flowering apple
茉莉,Arabian jasmine
枸骨,horned holly
棕竹,low ground-rattan
芋[头],taro
萝卜,radish
切花,cut flower
[中华]猕猴桃,Chinese gooseberry
酸枣,spine date
芽蕉,common banana
薯芋类蔬菜,tuber and tuberous rooted vegetables
芥蓝,Chinese kale
芦荟,Chinese aloe
蟹爪仙人掌,crab cactus
菊芋,Jerusalem artichoke
雏菊,English daisy
麦秆菊,straw flower
孔雀草,French marigold
紫茉莉,[common] four-o'clock
美洲李,American plum
甜橙,sweet orange
黄皮,wampee
百华花楸,Mt. baihuashan mountainash
珊瑚树,sweet viburnum
橡皮树,India-rubber fig
广玉兰,southern magnolia
代代花,sour orange
醋栗,gooseberry
香辛类蔬菜,condiment vegetables
欧洲防风,parsnip
食用菌类,edible fungi
抱子甘蓝,brussels sprouts
蝴蝶兰,Moth orchid
兜兰,paphiopedilum
密花石斛,dendrobium
蝴蝶花,fringed iris
马蔺,sword iris
芍药,Chinese peony
酸浆,alkekengi
甜瓜,melon
苋菜,edible amaranth
莳萝,dill
马铃薯,potato
海带,kelp
水芹,water dropwort
花卉布置,flower arrangement
花卉装饰,flower decoration
辣根,horse-radish
草菇,straw mushroom
黄秋葵,okra
虞美人,corn poppy
金光菊,cutleaf coneflower
越桔,blueberry
山楂,hawthorn
桃,peach
穗醋栗,currant
树莓,raspberry
葡萄柚,grapefruit
枸橼,citron
柠檬,lemon
核桃,Persian walnut
沙枣,oleaster
香蕉,dwarf banana
香榧,Chinese torreya
红毛丹,rambutan
榴莲,durian
酸豆,tamarind
卷丹,tiger-lily
池杉,pond cypress
雪松,Himalayan cedar
金钱松,golden larch
凤尾蕨,brake fern
鸟巢蕨,new pteris fern
鹅掌楸,Chinese tulip tree
木麻黄,horsetail beefwood
芡,cordon euryale
檬,canton lemon
姜,ginger
小檗,barberry
瓜叶菊,cineraria
白菜类蔬菜,Chinese cabbage group
根菜类蔬菜,root vegetables
茎芥菜,stem mustard
盆景,Penjing
蘘荷,mioga ginger
三色苋,tampala
波丝菊,cosmos
昙花,epiphyllum
吊兰,bracket-plant
文竹,asparagus fern
大岩桐,gloxinia
月见草,evening primrose
香石竹,carnation
小莱豆,small lima bean
大莱豆,big lima bean
菜豆,common bean
叶芥菜,leaf mustard
辣椒,hot pepper
瓠瓜,white-flowered gourd
冬瓜,wax gourd
矮刀豆,jack bean
西瓜,watermelon
黄瓜,cucumber
棱角丝瓜,luffa-angled loofah
胡葱,shallot
苦瓜,bitter gourd
细香葱,chive
结球莴苣,head lettuce
莴笋,asparagus lettuce
荠菜,shepherd's purse
皱叶冬寒菜,curled mallow
茴香,fennel
普通山药,Chinese yam
[粉]葛,thomson kudzu
黄花菜,daylily
[普通]紫菜,Tzu Tsai
菱[角],water caltrop
白色双孢蘑菇,white mushroom
金盏菊,pot marigold
万寿菊,Aztec marigold
一串红,scarlet sage
蛇目菊,plain coreopsis
[麝]香豌豆,sweet pea
报春花,common primrose
紫罗兰,common stock
鸡冠花,cockscomb
荷包牡丹,bleeding-heart
秋海棠,begonia
山荆子,Siberian crabapple
沙梨,sand pear
秋子梨,Ussurian pear
无病毒果树,virus-free fruit tree
白梨,Chinese white pear
山桃,David peach
油桃,nectarine
[中国]李,Chinese plum
木瓜,Chinese quince
[欧洲]酸樱桃,sour cherry
圆金柑,round kumquat
马蜂橙,Mauritius papeda
红河橙,Honghe papeda
长山核桃,pecan
无花果,fig
君迁子,dateplum
红豆越桔,linberry
菠萝,pineapple
杨梅,bayberry
山竹子,mangosteen
番荔枝,sugar-apple
一年生蔬菜作物,annual vegetable crop
耐热蔬菜,heat tolerant vegetable
花菜类蔬菜,flower vegetables
牛蒡,edible burdock
根芹菜,celeriac
芜菁,turnip
绿叶菜和生食叶菜类,potherbs and leafy salad vegetables
羽衣甘蓝,kale
王百合,royal lily
美人蕉,India canna
铁线蕨,venus-hair fern
梧桐,phoenix tree
贴梗海棠,common flowering quince
桂花,sweet osmanthus
玫瑰,rugosa rose
南天竹,heavenly bamboo
马缨杜鹃,delavay rhododendron
山茶,common camellia
牡丹,tree peony
栀子,cape jasmine
夹竹桃,sweet-scented oleander
紫竹,black bamboo
棕榈,windmill palm
紫藤,Chinese wisteria
小苍兰,freesia
七叶树,Chinese horsechestnut
枫香,Chinese sweetgum
日本五针松,Japanese white pine
[白]玉兰,yulan magnolia
万带兰,vanda
芫荽,coriander
叶甜菜,leaf beet
园林设计,landscape design
香菇,shiitake fungus
酸模,garden sorrel
醉蝶花,spiny spiderflower
百日草,youth-and-old-age
天人菊,blanket flower
山里红,hawthorn
何氏凤仙,Holsts snapweed
令箭荷花,nopalxochia
鸢尾,iris
萱草,orange daylily
吊竹梅,purple zebrina
红花酢浆草,window-box oxalis
洋葱,onion
佛手瓜,chayote
韭葱,leek
金花菜,burclover
罗勒,sweet basil
落葵,malabar spinach
番杏,New Zealand spinach
莲藕,hindu lotus
茭白,water bamboo
豆芽菜,bean sprouts
发菜,fa-tsai
朝鲜蓟,artichoke
[黑]木耳,woodear
食用大黄,garden rhubarb
草坪栽植,lawn planting
花菱草,california poppy
半支莲,sun plant
霍香蓟,tropic ageratum
菊花,Florist's chrysanthemum
羽叶茑萝,cypressvine starglory
果树学,pomology
[西]洋梨,European pear
豆梨,callery pear
梅,mei
毛樱桃,Nanking cherry
刺梨,roxburgh rose
[宽皮]桔,loose-skin orange
佛手,finger citron
石榴,pomegranate
龙眼,longan
油梨,avocado
番木瓜,papaya
多年生蔬菜作物,perennial vegetable crop
半耐寒蔬菜,semi-hardy vegetable
瓜类蔬菜,gourd vegetables
胡萝卜,carrot
葱蒜类蔬菜,allium vegetables
芜菁甘蓝,rutabaga
皱叶甘蓝,savoy cabbage
铃兰,lily-of-the-valley
风信子,hyacinth
仙客来,ivyleaf cyclamen
水松,Chinese water pine
珙桐,dove tree
合欢,silk tree
[国]槐,Chinese scholar tree
金银花,honeysuckle
佛肚竹,buddha bamboo
黄金间碧玉竹,greenstripe common bamboo
食荚豌豆,sugar pod garden pea
葡萄,grape
豆薯,yam bean
薹菜,tai-tsai
毛叶秋海棠,king begonis
春兰,Chinese orchid
芥菜,brown mustard
根芥菜,root mustard
笋瓜,squash
蕹菜,water spinach
紫苏,purple common perilla
香椿,Chinese mahogang
楸子,pearleaf crabapple
[中国]樱桃,cherry
光核桃,smooth pit peach
智利草莓,Chilean strawberry
枳,trifoliate orange
山葡萄,Ussurian grape
柿,persimmon
软枣猕猴桃,bower actinidia
笃斯越桔,bog blueberry
蔬菜园艺,vegetable gardening
白菜,Chinese cabbage-pak-choi
普通白菜,common Chinese cabbage-pakchoi
结球甘蓝,common head cabbage
菜薹,flowering Chinese cabbage
紫菜薹,purple tsai-tai
青花菜,broccoli
越瓜,oriental pickling melon
唐菖蒲,sword lily
葱莲,autumn zephyr-lily
韭莲,rosepink zephyr-lily
大叶黄杨,spindle tree
黄蝉,oleander allemanda
王棕,royal palm
叶子花,bougainvillea
扶芳藤,wintercreeper euonymus
大蒜,garlic
甘蓝,cabbage
卡特兰,Bowring cattleya
白头翁,Chinese pulsatilla
大葱,welsh onion
香芹菜,parsley
茼蒿,garland chrysanthemum
荸荠,Chinese water chestnut
豆瓣菜,water cress
竹笋,bamboo shoot
蕨菜,wild brake
造园,landscape gardening
金鱼草,snapdragon
凤仙花,garden balsam
观赏园艺,ornamental horticulture
阿月浑子,pistache
欧洲李,European plum
美洲葡萄,fox grape
茄子,eggplant
鸭跖草,dayflower
蒲包花,slipperwort
大丽菊,aztec dahlia
[大花]君子兰,kafir lily
文殊兰,poison bulb
紫菀,tartarian aster
扁豆,lablab
甜椒,sweet pepper
长豇豆,asparagus bean
番茄,tomato
豇豆,cowpea
节瓜,Chieh-qua
四棱豆,winged bean
刀豆,sword bean
[中国]南瓜,China squash
冬寒菜,Chinese mallow
苦苣,endive
[花]魔芋,elephant-foot yam
薯蓣,yam
甘露儿,Chinese artichoke
莼菜,water-shield
矢车菊,cornflower
翠菊,China-aster
花图式,floral diagram
观赏植物,ornamental plants
飞燕草,rocket larkspur
枇杷,loquat
欧洲葡萄,European grape
山核桃,cathay hickory
枣,Chinese date
荔枝,litchi
棕枣,date
欧[洲]榛,filbert
乌榄,black Chinese olive
澳洲坚果,macadamia nut
菠萝蜜,jack fruit
番石榴,guava
蒲桃,roseapple
叶菜类蔬菜,leaf vegetables
喜温蔬菜,warm season vegetable
耐寒蔬菜,hardy vegetable
茄果类蔬菜,solanaceous vegetables
花[椰]菜,cauliflower
[麝]香百合,easter lily
石蒜,spider lily
射干,blackberry lily
郁金香,tulip
水杉,Chinese redwood
睡莲,pygmy waterlily
仙人掌,Indian fig
云杉,dragon spruce
油松,Chinese pine
白皮松,Chinese lace-bark pine
[侧]柏,Chinese arbor-vitae
铺地柏,procumbent juniper
金银木,Amur honeysuckle
木兰,lily magnolia
榆叶梅,flowering almond
杜鹃,rhododendron
锦熟黄杨,common box
常春藤,English ivy
水分平衡,water balance
毛管传导度,capillary conductivity
扩散系数,diffusion coefficient
渗漏,percolation
吸水势,suction potential
土地区划,regionlization of land
土地评价,land evaluation
坡田,sloping field
土壤生产力,soil productivity
土壤特性,soil characteristics
土壤改良,soil amelioration
土壤比热,soil specific heat
喷施,spraying
叶面施肥,foliar application
沟施,furrow application
撒施,broadcast
农家肥,farmyard manure
深施,deep placement
非共生固氮作用,asymbiotic nitrogen fixation
共生固氮作用,symbiotic nitrogen fixation
生物固氮,biological nitrogen fixation
耗水系数,water consumption coefficient
田间需水量,field water requirement
黄花苜蓿,sickle alfalfa
钙镁磷肥,fused calcium magnesium phosphate
磷矿粉,rock phosphate
红壤,red soil
通透性土壤,permiable soil
盐化,salinization
脱盐,desalinization
土壤容重,bulk density of soil
土壤结持度,soil consistancy
水分状况,water regime
土壤有效水,soil available water
土壤自由水,soil free water
兰花苕子,bird vetch
紫云英,Chinese milk vetch
绿萍,azolla
入渗,infiltration
轮休地,land on fallow rotation
渗出,seepage
完全肥料,complete fertilizer
渗漏率,percolation rate
土地面积,land area
土地规划,land plan
肥地,fertile land
瘠地,infertile land
土地耗竭,land exhaustion
生荒地,virgin land
旱地,dry land
撂荒地,abandoned land
绿洲,oasis
农艺类型,agrotype
农田生态系统,field ecosystem
砂田,stone mulch field
黏重土壤,heavy soil
土壤不匀性,soil heterogeneity
犁底层,plow pan
土壤适耕性,workability of soil
土壤胶体,soil colloid
土壤温度,soil temperature
土壤吸力,soil suction
土壤排水,soil drainage
毛管力,capillary force
毛管势,capillary potential
毛管容量,capillary capacity
贮水量,water-storage capacity
水分保持,water conservation
需水量,water requirement
水分利用系数,water use coefficient
保水能力,water retention capacity
农业土壤水分特性,agricultural soil moisture characteristics
氮损失,nitrogen loss
穴施,hole application
基施,basal application
种肥,seed fertilizer
追施,dressing
紫穗槐,shrubby flase indigo
禾本科绿肥,gramineous green manure
自然肥力,natural fertility
水葫芦,weter hyacinth
水花生,water peanut
氰氨态氮肥,cyanamide nitrogen fertilizer
氨化泥炭,ammoniated peat
有机氮,organic nitrogen
无机肥料,inorganic fertilizer
氨水,ammonia water
微量元素肥料,micronutrient fertilizer
尿素,urea
微量元素,microelement
硝化抑制剂,nitrification inhibitor
土地开垦,land reclamation
土地管理,land management
氮回收,nitrogen recovery
交换性盐基,exchangeable base
氮周转,nitrogen turnover
交换性钾,exchangeable potassium
氮循环,nitrogen cycle
绿肥,green manure
箭舌豌豆,common vetch
后效,residual effect
铵态氮肥,ammonium fertilizer
钾肥,potasium fertilizer
固氮作用,nitrogen fixation
菌根,mycorhiza
水分供应率,water supply rate
土地利用,land use
潮土,Chao soil
土壤呼吸,soil respiration
骨粉,bone meal
耕地,arable land
混合肥料,mixed fertilizer
氮固持,nitrogen immobilization
氮状况,nitrogen status
淋滤,eluviation
淋失,leaching loss
缓释肥料,slow release fertilizer
淋洗,leaching
包衣肥料,coated fertilizer
复合肥料,complex fertilizer
入渗率,infiltration rate
毛管孔[隙]度,capillary porosity
渗透深度,penetration depth
泥炭土,peat soil
水稻田,paddy field
中性土,neutral soil
碱性土,alkaline soil
石灰性土,calcareous soil
土壤条件,soil condition
有结构土壤,structural soil
砂土,sand soil
无结构土壤,non-structural soil
黏土,clay soil
壤土,loam soil
土壤毛[细]管作用,soil capillarity
土壤渗透性,soil permeability
腐殖质,humus
不稳定结构,unstable structure
土壤物理性质,soil physical properties
土壤结构,soil structure
土壤孔隙度,soil porosity
土壤比重,specific gravity of soil
水分管理,water management
土壤水[分]胁迫,soil moisture stress
土壤无效水,soil inavailable water
水分循环,water cycle
硝态氮,nitrate nitrogen
农业用地,agricultural land
土地利用率,land utilization rate
非灌溉稻田,nonirrigable rice field
堆肥,compost
毛管上限,capillary fringe
土壤培肥,improvement of soil fertility
河泥,canal mud
颗粒肥料,granular fertilizer
氮同化,nitrogen assimilation
需肥量,fertilizer requirement
渗漏水,percolation water
渗透压,osmotic pressure
土地分级,land grading
土地开发,land development
土地类型,land type
土地质量,land quality
土地生产能力,land capability
水浇地,irrigated land
圩田,polder land
秧田,nursery
带条田,stripping field
土壤生物,soil organisms
土壤生态系统,soil ecosystem
轻质土壤,light soil
团粒结构,aggregate structure
砂姜,Shajiang
土壤溶液,soil solution
土壤吸湿水,soil hygroscopic water
土壤冻结,soil freezing
土壤空气,soil air
土壤重力水,soil gravitational water
耗水量,water consumption
加肥灌溉,fertigation
氮矿化,nitrogen mineralization
碳氮比,C/N ratio
氮释放,nitrogen liberation
交换量,exchange capacity
碳循环,carbon cycle
厩肥,stable manure
人粪尿,night soil
分次施肥,split application
条施,drilling
施肥制度,system of fertilization
[多变]小冠花,crown vetch
草木灰,ash
泥炭,peat
[多花]黑麦草,ryegrass
饼肥,cake fertilizer
硝态氮肥,nitrate fertilizer
酰胺态氮肥,amide nitrogen fertilizer
草塘泥,waterlogged compost
矿质氮,mineral nitrogen
肥料品位,fertilizer grade
硝化作用,nitrification
生物肥料,bio-fertilizer
围垦地,polder reclamation
渗水采集器,lysimeter
三叶草,clover
碱土,solonetz
土地资源,land resources
腐殖化,humification
耕作层,plow layer
土壤含水量,soil moisture content
毛管水,capillary moisture
沙打旺,prairie milk vetch
毛叶苕子,hairy vetch
过磷酸钙,calcium superphosphate
黑钙土,chernozem
土壤肥力,soil fertility
土壤改良剂,soil conditioner
心土,subsoil
阳离子交换量,cation exchange capacity
必需元素,essential element
湖田,shoaly land
水稻土,paddy soil
冷浸田,cold waterlogged paddy field
盐土,solonchak
液体肥料,liquid fertilizer
土地改良,land improvement
耕地面积,arable area
淋洗定额,leaching requirement
田菁,sesbania
土壤通气,soil aeration
渗透吸力,osmotic suction
土壤团聚体,soil aggregate
肥料效率,fertilizer efficiency
土地生产力,productivity of land
土地,land
休耕地,fallow land
河漫滩地,flood land
围田,diked field
山田,hillside land
梯田,terrace field
灰漠土,grey desert soil
棕壤,brown soil
褐土,cinnamon soil
农业土壤,agriculture soil
土壤地带性,soil zonality
黄壤,yellow soil
紫色土,purple soil
土壤有机质,soil organic matter
酸性土,acid soil
土壤腐殖质,soil humus
冻土,frozen soil
表土,surface soil
侵蚀土壤,eroded soil
碱化,solonization
土壤质地,soil texture
块状结构,crumb structure
潜育层,gley horizon
土壤结皮,soil crust
土壤水势,soil water potential
土壤水[分]状况,soil moisture regime
土壤耕性,soil tilth
土壤碱度,soil alkalinity
土壤结持性,soil resistance
土壤紧实度,soil density
土壤水[分],soil moisture
土壤酸度,soil acidity
水分亏缺,water deficit
水分补偿,water compensation
施肥,fertilizer application
施肥位置,fertilizer placement
有机肥料,organic fertilizer
禽肥,fowl dung
白花草木樨,white sweet clover
豆科绿肥,leguminous green manure
柽麻,sunn
潜在肥力,potential fertility
水浮莲,water lettuce
肥源,fertilizer source
肥料效应,fertilizer effect
紫[花]苜蓿,alfalfa
铵态氮,ammonium nitrogen
化学肥料,chemical fertilizer
氮肥,nitrogen fertilizer
磷肥,phosphorus fertilizer
痕量元素,trace element
根瘤,root nodule
根瘤菌剂,nitragin
速效,readily available
假彩色,false color
分辨率,resolution
数字图像,digital image
识别,identification
数字滤波器,digital filter
航空相片,aerial photo
土地制图单元,land mapping unit
矢量数据,vector data
水体,water body
离子注入,ion-implantation
核技术,nuclear technique
辐照量剂量转换系数,exposure-to-dose conversion coefficient
贝可,becquerel
戈瑞,gray
放射免疫电泳,radioimmunoelectrophoresis
脉冲幅度分析仪,pulse size analyser
标记技术,labeling technique
切连科夫辐射,Cerenkov radiation
离子对,ion pair
辐射损伤,radiation damage
离体突变发生,in vitro mutagenesis
危害分析,hazard analysis
氮-15方法学,15N methodology
猝灭气体,quenching gas
杀虫,insect disinfestation
抑制发芽,sprout inhibition
辐射诱发突变体,radiation-induced mutant
群体密度,population density
几何衰减,geometrical attenuation
核聚变,nuclear fusion
衰减因子,attenuation factor
辐照量,exposure dose
修复错误,mis-repair
核乳胶,nuclear emulsion
分辨时间,resolving time
γ射线密度测量仪,γ-ray densitometer
光谱信息,spectral information
光谱范围,spectral range
存活曲线,survival curve
多光谱扫描仪,multispectral scanner
平方反比定率,inverse-square law
农业遥感,agricultural remote sensing
训练区,training set
机载侧视雷达,side-looking airborne radar
亮度,brightness
光谱测量,spectral measurement
图像判读,image interpretation
热红外,thermal infrared
荧光,fluorescence
辐射遗传学,radiation genetics
辐射抗性,radioresistance
标记DNA探针,labeled DNA probe
氧效应,oxygen effect
放射治疗,radiotherapy
大气窗,atmospheric window
合成孔径雷达,synthetic aperture radar
重叠,overlap
卫生性,wholesomeness
辐照率,exposure rate
γ温室,γ-greenhouse
地理信息系统,geographic information system
电子自旋共振,electron spin resonnance
同类群,homogeneous set
农业信息中心,agricultural information center
病虫害监测,pest and disease monitoring
辐射分解,radiolysis
波段,band
中子发生器,neutron generator
辐射生物学,radiation biology
电子束辐照,electron beam irradiation
液体闪烁计数器,liquid scintillation counter
电离辐射,ionizing radiation
电离径迹,ionization track
非放射性示踪物,non-radioactive tracer
食品辐照技术,food irradiation technique
